period_end,Revenue,OperatingIncome,Operating_Margin
2018-09-30,51074000,-4635000,-0.09075067549046481
2019-03-31,70050000,-9662000,-0.1379300499643112
2019-06-30,83222000,-3994000,-0.0479921174689385
2019-09-30,95864000,-4218000,-0.04399983309688726
2020-03-31,131248000,3778000,0.028785200536389124
2020-06-30,140012000,654000,0.004671028197583064
2020-09-30,154675000,-9267000,-0.059912720219815745
2021-03-31,198549000,-12830000,-0.06461880946265154
2021-06-30,233549000,-9886000,-0.042329446925484585
2021-09-30,270488000,-4895000,-0.01809692112034545
2022-03-31,363030000,10414000,0.02868633446271658
2022-06-30,406138000,-3139000,-0.007728900029054164
2022-09-30,436533000,-31342000,-0.0717975502424788
2023-03-31,481714000,-34970000,-0.07259494222713062
2023-06-30,509460000,-22006000,-0.04319475523102893
2023-09-30,547536000,-4230000,-0.007725519417901288
2024-03-31,611253000,11996000,0.019625261552908533
2024-06-30,645279000,12618000,0.019554332312069662
2024-09-30,690016000,20278000,0.02938772434262394
2025-03-31,761553000,-12420000,-0.01630877955966295
2025-06-30,826760000,-35500000,-0.04293870046930185
2025-09-30,885651000,-5809000,-0.006559017039443302
